date,amcr_shares,ecl_shares,lyb_shares,alb_shares,shw_shares,ip_shares,sw_shares,fcx_shares,vmc_shares,dow_shares,dd_shares,pkg_shares,mos_shares,mlm_shares,cf_shares,stld_shares,avy_shares,ball_shares,iff_shares,lin_shares,ctva_shares,ppg_shares,nue_shares,crh_shares,apd_shares,nem_shares
2025-03-31,,1096310,1755457,796239,1007938,3570941,3348528,6251377,894435,4766770,2831305,603921,2151293,413943,1178606,958898,544168,2021104,1731618,2071291,3894945,1571202,1590289,,967785,5267132
2025-04-01,,1096310,1755457,796239,1007938,3570941,3348528,6251377,894435,4766770,2831305,603921,2151293,413943,1178606,958898,544168,2021104,1731618,2071291,3894945,1571202,1590289,,967785,5267132
2025-04-03,,1110560,1778323,806654,1021093,3617427,3392239,6332849,906080,4828951,2868170,611747,2179294,419303,1193891,971438,551248,2047474,1754188,2098291,3945766,1591777,1611000,,980445,5335738
2025-04-07,,1071387,1715629,778188,985102,3489846,3272613,6109550,874131,4658671,2767034,590161,2102453,404511,1151794,937167,531812,1975277,1692311,2024288,3806618,1535662,1554197,,945873,5147570
2025-04-16,,1087985,1742094,790209,1000268,3543757,3323089,6203745,887605,4730472,2809770,599297,2134919,410803,1169616,951613,540048,2005699,1718513,2055566,3865266,1559273,1578175,,960445,5226943
2025-04-22,,1098917,1759602,798153,1010312,3579361,3356473,6266073,896521,4778004,2837994,605321,2156363,414931,1181364,961177,545472,2025847,1735781,2076218,3904098,1574945,1594027,,970093,5279455
2025-04-23,,1099828,1761061,798815,1011149,3582328,3359255,6271267,897264,4781965,2840346,605823,2158150,415275,1182343,961974,545924,2027526,1737220,2077939,3907334,1576251,1595348,,970897,5283831
2025-04-25,,1094362,1752307,794843,1006127,3564526,3342563,6240103,892806,4758199,2826234,602811,2147428,413211,1176469,957192,543212,2017452,1728586,2067613,3887918,1568435,1587422,,966073,5257575
2025-04-28,,1092540,1749389,793519,1004453,3558592,3336999,6229715,891320,4750277,2821530,601807,2143854,412523,1174511,955598,542308,2014094,1725708,2064171,3881446,1565825,1584780,,964465,5248823
2025-05-13,,1041618,1667963,756617,957669,3392884,3181595,5939733,849754,4529131,2690174,573809,2044050,393259,1119815,911074,517010,1920324,1645262,1968071,3700756,1492939,1510990,,919533,5004489
2025-05-14,,1041618,1667963,756617,957669,3392884,3181595,5939733,849754,4529131,2690174,573809,2044050,393259,1119815,911074,517010,1920324,1645262,1968071,3700756,1492939,1510990,,919533,5004489
2025-05-16,,1045515,1674239,759437,961285,3405621,3193511,5961990,852987,4546204,2700279,575997,2051726,394819,1123991,914530,518991,1927572,1651458,1975476,3714661,1498507,1516722,,923017,5023306
2025-05-19,,1041618,1667963,756617,957669,3392884,3181595,5939733,849754,4529131,2690174,573809,2044050,393259,1119815,911074,517010,1920324,1645262,1968071,3700756,1492939,1510990,,919533,5004489
2025-05-20,,1041618,1667963,756617,957669,3392884,3181595,5939733,849754,4529131,2690174,573809,2044050,393259,1119815,911074,517010,1920324,1645262,1968071,3700756,1492939,1510990,,919533,5004489
2025-05-21,,994401,1592398,722302,914332,3239246,3037467,5670730,811335,4324041,2568293,547768,1951436,375506,1069125,869857,493555,1833381,1570757,1878915,3533200,1425330,1442533,,877945,4777792
2025-05-23,,990591,1586173,719527,910687,3226551,3025587,5648410,808155,4307026,2558243,545683,1943786,374001,1064875,866412,491715,1826166,1564632,1871590,3519275,1419665,1436888,,874465,4759122
2025-05-27,,990791,1586573,719727,910987,3227451,3026387,5650010,808355,4308226,2558943,545783,1944386,374101,1065175,866712,491815,1826666,1565032,1872090,3520275,1420065,1437288,,874665,4760422
2025-05-28,,1004336,1608263,729567,923437,3271566,3067757,5727230,819410,4367116,2593923,553238,1970966,379216,1079740,878562,498535,1851626,1586422,1897680,3568395,1439475,1456938,,886620,4825492
2025-05-30,,998415,1598841,725175,918027,3252272,3049651,5693480,814551,4341427,2578599,550059,1959262,377029,1073343,873332,495599,1840771,1577140,1886438,3547339,1431017,1448368,,881441,4797019
2025-06-02,,994803,1593057,722551,914707,3240504,3038619,5672880,811603,4325719,2569271,548071,1952174,375665,1069459,870172,493807,1834111,1571436,1879614,3534507,1425841,1443128,,878253,4779663
2025-06-03,,996611,1595951,723863,916369,3246392,3044141,5683188,813077,4333579,2573939,549067,1955722,376347,1071403,871754,494705,1837443,1574292,1883030,3540929,1428431,1445750,,879849,4788347
2025-06-04,,974915,1561199,708095,896401,3175688,2977829,5559396,795365,4239187,2517875,537115,1913122,368139,1048075,852770,483929,1797411,1539996,1842014,3463793,1397327,1414262,,860697,4684043
2025-06-05,,1002535,1605439,728205,921761,3265668,3062319,5717136,818005,4359377,2589355,552255,1967472,378599,1077835,877000,497599,1848451,1583666,1894284,3562113,1436907,1454422,,885037,4816923
2025-06-06,,990770,1586602,719664,910945,3227344,3026374,5650043,808411,4308222,2558961,545768,1944384,374153,1065186,866704,491762,1826754,1565076,1872054,3520305,1420046,1437353,,874650,4760386
2025-06-09,,1005250,1609786,730176,924257,3274512,3070614,5732635,820219,4371198,2596369,553752,1972800,379625,1080754,879376,498946,1853458,1587956,1899414,3571761,1440798,1458361,,887434,4829970
2025-07-07,,1013738,1976960,904688,926233,4058900,3812949,5884820,924190,5434819,3217766,686951,2439086,442170,1245690,1061520,601111,2132995,1966653,1891159,3348575,1745291,1774194,,894069,4526990
2025-07-08,,1013738,1976960,904688,926233,4058900,3812949,5884820,924190,5434819,3217766,686951,2439086,442170,1245690,1061520,601111,2132995,1966653,1891159,3348575,1745291,1774194,,894069,4526990
2025-07-09,,1015396,1980194,906168,927749,4065542,3819187,5894448,925702,5443711,3223030,688075,2443076,442894,1247728,1063256,602095,2136485,1969871,1894253,3354055,1748147,1777096,,895531,4534398
2025-07-10,,1007935,1965641,899508,920927,4035653,3791116,5851122,918898,5403697,3199342,683017,2425121,439636,1238557,1055444,597667,2120780,1955390,1880330,3329395,1735295,1764037,,888952,4501062
2025-07-11,,1004619,1959173,896548,917895,4022369,3778640,5831866,915874,5385913,3188814,680769,2417141,438188,1234481,1051972,595699,2113800,1948954,1874142,3318435,1729583,1758233,,886028,4486246
2025-07-14,,1005448,1960790,897288,918653,4025690,3781759,5836680,916630,5390359,3191446,681331,2419136,438550,1235500,1052840,596191,2115545,1950563,1875689,3321175,1731011,1759684,,886759,4489950
2025-07-15,,1014567,1978577,905428,926991,4062221,3816068,5889634,924946,5439265,3220398,687513,2441081,442532,1246709,1062388,601603,2134740,1968262,1892706,3351315,1746719,1775645,,894800,4530694
2025-07-16,,1016225,1981811,906908,928507,4068863,3822306,5899262,926458,5448157,3225662,688637,2445071,443256,1248747,1064124,602587,2138230,1971480,1895800,3356795,1749575,1778547,,896262,4538102
