date,apa_price,cop_price,cvx_price,slb_price,wmb_price,tpl_price,xom_price,psx_price,fang_price,eqt_price,oxy_price,oke_price,vlo_price,dvn_price,kmi_price,ctra_price,exe_price,trgp_price,eog_price,mpc_price,hal_price,bkr_price,xle_calculated_price
2025-07-18,18.82,91.64,150.04,33.32,59.35,997.11,107.77,125.90,141.37,59.19,43.62,83.30,146.15,32.85,27.88,24.39,108.64,171.11,117.68,174.21,21.22,39.72,83.12
2025-07-24,19.30,95.62,155.83,35.24,58.75,969.44,110.79,124.32,145.30,54.03,44.63,82.01,140.34,33.30,27.42,23.76,99.60,165.64,119.05,171.31,22.42,45.72,87.18
2025-07-25,19.10,94.95,154.84,35.47,57.82,979.29,110.40,124.97,144.61,52.19,44.71,81.54,141.97,32.94,27.39,23.63,98.17,165.60,118.39,171.57,22.45,46.05,86.17
2025-07-28,19.57,97.02,156.28,36.00,57.51,976.57,111.44,127.69,150.52,51.91,45.55,81.81,144.75,34.09,27.21,23.81,98.13,167.32,121.65,174.80,22.84,46.55,87.76
2025-07-29,19.68,97.99,157.03,35.63,58.89,993.62,112.88,128.41,152.50,53.10,45.46,83.47,144.73,34.22,27.88,24.22,99.37,169.56,123.15,175.43,23.08,45.75,88.85
2025-07-30,19.48,96.67,153.56,34.17,59.24,986.09,111.90,124.40,151.00,53.36,44.41,82.19,139.37,33.76,28.01,24.29,104.21,167.37,121.24,170.78,22.40,45.53,87.43
2025-07-31,19.29,95.34,151.64,33.80,59.95,968.13,111.64,123.58,148.66,53.75,43.94,82.11,137.31,33.22,28.06,24.39,104.78,166.41,120.02,170.19,22.40,45.05,86.81
2025-08-01,18.46,92.76,151.40,33.05,60.27,934.80,109.64,119.60,146.14,52.34,43.41,78.99,133.18,32.14,28.10,23.70,101.97,162.92,116.60,165.53,21.60,43.51,84.96
2025-08-04,18.27,92.85,151.04,32.88,60.26,952.04,107.37,121.46,147.78,51.87,42.86,79.83,135.04,31.94,28.28,23.93,101.23,164.82,117.01,167.96,21.67,43.75,85.17
2025-08-05,18.59,93.20,153.04,33.50,59.00,958.81,107.24,122.07,145.68,51.69,43.08,75.70,136.83,32.31,28.04,24.32,101.04,163.63,117.78,168.92,21.68,43.82,85.44
2025-08-06,18.06,93.11,152.78,32.86,58.64,950.62,106.51,119.84,144.36,51.46,42.54,75.23,133.46,32.45,26.75,24.25,101.65,163.05,116.59,162.44,21.22,43.43,84.25
2025-08-07,19.46,92.60,153.16,32.79,57.89,867.46,105.95,119.30,141.12,51.24,43.59,75.48,132.59,32.39,26.76,23.77,100.01,166.89,115.97,161.51,20.88,42.94,84.09
2025-08-08,20.01,93.91,155.01,32.87,57.89,862.10,106.80,119.13,142.03,51.29,44.32,74.46,133.29,33.28,26.89,24.02,99.14,165.09,116.28,160.84,20.90,43.29,84.88
2025-08-11,19.92,93.53,153.45,32.37,58.06,854.83,105.83,118.37,136.84,51.82,43.71,73.65,131.77,32.87,26.89,23.96,97.96,166.11,116.84,158.59,20.50,42.70,84.06
2025-08-12,20.44,94.59,154.44,32.94,57.76,856.81,106.13,120.04,138.49,51.27,44.15,74.05,133.38,33.32,26.56,23.98,95.89,168.04,118.01,159.11,20.97,42.51,84.45
2025-08-13,20.56,95.88,155.87,33.55,57.86,882.39,107.60,122.58,139.98,51.48,44.75,75.33,136.15,33.62,26.87,24.22,96.46,166.74,119.47,161.73,21.20,42.85,85.45
2025-08-14,20.49,95.65,155.16,33.22,57.34,912.55,107.38,122.73,140.77,52.05,44.77,74.80,135.82,33.85,26.85,24.07,94.99,165.51,119.79,162.32,21.35,43.25,85.32
2025-08-15,20.48,95.33,156.55,32.99,57.46,882.15,106.49,123.61,140.22,52.85,44.61,73.93,136.80,33.69,26.67,24.03,95.13,163.19,118.99,162.34,21.12,42.80,85.13
2025-08-18,20.41,94.00,155.32,33.30,56.52,892.05,106.72,122.84,139.52,50.50,44.21,73.04,136.81,33.55,26.23,23.24,93.03,161.05,117.73,162.67,21.33,42.87,84.58
2025-08-19,20.24,93.76,152.00,33.34,56.57,902.18,107.42,122.17,138.96,50.54,43.96,73.50,137.93,33.58,26.40,23.10,93.05,160.77,117.32,164.38,21.11,42.95,84.49
2025-08-20,20.34,94.89,153.22,33.36,57.22,894.77,108.53,123.57,137.87,51.34,44.27,73.68,140.51,33.78,26.57,23.23,94.00,162.87,118.36,165.82,21.10,42.85,85.19
