date,xom_shares,eog_shares,oke_shares,vlo_shares,mpc_shares,eqt_shares,cvx_shares,hal_shares,wmb_shares,fang_shares,dvn_shares,oxy_shares,ctra_shares,exe_shares,bkr_shares,apa_shares,trgp_shares,cop_shares,kmi_shares,tpl_shares,psx_shares,slb_shares
2025-03-31,64980263,11164614,13580059,6929384,6916694,13060188,31783526,19000815,24643473,4090284,14378225,14787697,16119373,4602968,21671612,8097317,4772942,24263530,42311852,412323,9039475,30661860
2025-04-01,64980263,11164614,13580059,6929384,6916694,13060188,31783526,19000815,24643473,4090284,14378225,14787697,16119373,4602968,21671612,8097317,4772942,24263530,42311852,412323,9039475,30661860
2025-04-03,64488693,11080224,13477359,6876984,6864304,12961458,31543111,18857085,24457053,4059394,14269410,14675792,15997328,4568163,21507592,8036142,4736817,24079980,41991742,409233,8971085,30429835
2025-04-07,62973003,10819854,13160559,6715284,6702934,12656868,30801766,18413895,23882193,3964024,13933965,14330777,15621293,4460748,21002032,7847217,4625442,23514030,41004712,399663,8760215,29714560
2025-04-16,60872137,10458736,12721539,6491304,6479316,12234542,29774083,17799529,23085489,3831706,13469242,13852811,15100244,4311967,20301448,7585422,4471217,22729600,39636900,386265,8467997,28723375
2025-04-22,59732644,10262940,12483402,6369784,6358044,12005514,29216703,17466341,22653349,3760034,13217150,13593527,14817524,4231243,19921388,7443442,4387517,22304156,38894884,379073,8309525,28185711
2025-04-23,59245574,10179253,12381589,6317844,6306210,11907623,28978468,17323930,22468644,3729400,13109401,13482704,14696684,4196740,19758943,7382757,4351742,22122260,38577732,375999,8241791,27955903
2025-04-25,59328284,10193464,12398878,6326664,6315012,11924246,29018923,17348113,22500009,3734602,13127698,13501523,14717204,4202599,19786528,7393062,4357817,22153148,38631588,376521,8253293,27994927
2025-04-28,59374234,10201359,12408483,6331564,6319902,11933481,29041398,17361548,22517434,3737492,13137863,13511978,14728604,4205854,19801853,7398787,4361192,22170308,38661508,376811,8259683,28016607
2025-05-13,59739859,10264180,12484916,6370621,6358787,12006950,29220249,17468434,22656048,3760377,13218605,13595108,14819361,4231790,19923847,7444384,4388092,22306832,38899558,379099,8310468,28189034
2025-05-14,59739859,10264180,12484916,6370621,6358787,12006950,29220249,17468434,22656048,3760377,13218605,13595108,14819361,4231790,19923847,7444384,4388092,22306832,38899558,379099,8310468,28189034
2025-05-16,59451269,10214652,12424650,6339862,6328106,11948970,29079186,17384130,22546614,3742296,13154832,13529473,14747769,4211393,19827601,7408465,4366859,22199004,38711696,377277,8270379,28052872
2025-05-19,59739859,10264180,12484916,6370621,6358787,12006950,29220249,17468434,22656048,3760377,13218605,13595108,14819361,4231790,19923847,7444384,4388092,22306832,38899558,379099,8310468,28189034
2025-05-20,59739859,10264180,12484916,6370621,6358787,12006950,29220249,17468434,22656048,3760377,13218605,13595108,14819361,4231790,19923847,7444384,4388092,22306832,38899558,379099,8310468,28189034
2025-05-21,59145119,10162077,12360583,6307156,6295463,11887489,28929323,17294527,22430542,3723022,13087043,13459822,14671832,4189696,19725509,7370270,4344402,22084738,38512283,375276,8227782,27908425
2025-05-23,59589277,10238397,12453415,6354532,6342743,11976769,29146578,17424415,22598981,3750965,13185306,13560910,14781999,4221143,19873644,7425614,4377042,22250585,38801490,378108,8289558,28118000
2025-05-27,59580022,10236807,12451481,6353545,6341758,11974909,29142051,17421709,22595471,3750382,13183258,13558804,14779703,4220487,19870557,7424461,4376362,22247129,38795464,378049,8288271,28113633
2025-05-28,59348647,10197057,12403131,6328870,6317133,11928409,29028876,17354059,22507721,3735807,13132058,13506154,14722303,4204087,19793382,7395636,4359362,22160729,38644814,376574,8256096,28004458
2025-05-30,59163547,10165257,12364451,6309130,6297433,11891209,28938336,17299939,22437521,3724147,13091098,13464034,14676383,4190967,19731642,7372576,4345762,22091609,38524294,375394,8230356,27917118
2025-06-02,58858132,10112787,12300629,6276559,6264928,11829829,28788945,17210641,22321691,3704908,13023514,13394536,14600615,4169319,19629771,7334527,4323322,21977561,38325436,373447,8187885,27773007
2025-06-03,58710068,10087347,12269685,6260767,6249168,11800069,28716513,17167345,22265531,3695580,12990746,13360840,14563879,4158823,19580395,7316079,4312442,21922265,38229020,372503,8167293,27703135
2025-06-04,58793363,10101657,12287091,6269650,6258033,11816809,28757256,17191699,22297121,3700827,13009178,13379794,14584543,4164727,19608178,7326456,4318562,21953369,38283254,373034,8178876,27742438
2025-06-05,58847528,10110927,12298393,6275411,6263788,11827589,28783837,17207517,22317651,3704276,13021222,13392012,14598031,4168595,19626239,7333215,4322502,21973537,38318532,373411,8186337,27768039
2025-06-06,58773456,10098199,12282913,6267515,6255900,11812701,28747605,17185861,22289563,3699612,13004830,13375156,14579655,4163347,19601535,7323983,4317062,21945881,38270300,372939,8176033,27733087
2025-06-09,58847520,10110927,12298393,6275411,6263780,11827589,28783837,17207517,22317651,3704276,13021222,13392012,14598031,4168595,19626239,7333215,4322502,21973537,38318532,373411,8186337,27768039
2025-07-07,57276248,10214784,12615752,6325854,6204814,12090594,28036573,17363935,20615088,3776599,12968701,14311361,15415796,4373901,20010209,7288014,4381469,21792133,39044722,380700,8229103,27471395
2025-07-08,57276248,10214784,12615752,6325854,6204814,12090594,28036573,17363935,20615088,3776599,12968701,14311361,15415796,4373901,20010209,7288014,4381469,21792133,39044722,380700,8229103,27471395
2025-07-09,57114140,10185876,12580040,6307944,6187246,12056376,27957229,17314795,20556732,3765907,12931999,14270861,15372164,4361517,19953581,7267386,4369067,21730447,38934220,379620,8205811,27393635
2025-07-10,57375314,10232450,12637576,6336799,6215550,12111505,28085090,17393965,20650750,3783133,12991130,14336111,15442460,4381469,20044815,7300620,4389048,21829830,39112251,381360,8243337,27518915
2025-07-11,57339290,10226026,12629640,6332819,6211646,12103901,28067458,17383045,20637782,3780757,12982974,14327111,15432764,4378717,20032231,7296036,4386292,21816122,39087695,381120,8238161,27501635
2025-07-14,57303266,10219602,12621704,6328839,6207742,12096297,28049826,17372125,20624814,3778381,12974818,14318111,15423068,4375965,20019647,7291452,4383536,21802414,39063139,380880,8232985,27484355
2025-07-15,57159170,10193906,12589960,6312919,6192126,12065881,27979298,17328445,20572942,3768877,12942194,14282111,15384284,4364957,19969311,7273116,4372512,21747582,38964915,379920,8212281,27415235
2025-07-16,57042092,10173028,12564168,6299984,6179438,12041168,27921994,17292955,20530809,3761155,12915687,14252861,15352772,4356013,19928413,7258218,4363555,21703031,38885108,379140,8195459,27359075
2025-07-17,57087122,10181058,12574088,6304959,6184318,12050673,27944034,17306605,20547014,3764125,12925882,14264111,15364892,4359453,19944143,7263948,4367000,21720166,38915803,379440,8201929,27380675
2025-07-18,56882822,10144558,12529188,6282459,6162218,12007573,27844134,17244605,20473514,3750725,12879582,14212911,15309892,4343853,19872943,7238048,4351300,21642566,38776703,378040,8172529,30105175
2025-07-21,56954638,10157366,12545004,6290387,6170002,12022733,33579267,17266373,20499362,3755461,12895846,14230855,15329220,4349341,19898031,7247184,4356796,21669894,38825663,378520,8182849,30143183
2025-07-22,56837937,10136553,12519303,6277504,6157353,11998098,33522145,17231000,20457359,3747765,12869417,14201696,15297812,4340423,19857263,7232338,4347865,21625486,38746103,377740,8166079,30081420
2025-07-23,56818458,10133126,12515024,6275347,6155309,11993933,32862506,17225133,20450422,3746481,12865026,14196835,15292580,4339001,19850491,7229804,4346416,21618054,38732863,377620,8163349,30071143
2025-07-24,56791425,10128305,12509069,6272362,6152381,11988227,32825382,17216937,20440693,3744699,12858906,14190082,15285305,4336937,19841047,7226363,4344349,21607770,38714434,377440,8159464,30056836
2025-07-25,56322853,10044741,12405849,6220622,6101629,11889323,32554566,17074873,20272057,3713811,12752826,14073030,15159205,4301161,19677351,7166719,4308521,21429514,38394998,374320,8092124,29808848
2025-07-28,56250765,10031885,12389969,6212662,6093821,11874107,32512902,17053017,20246113,3709059,12736506,14055022,15139805,4295657,19652167,7157543,4303009,21402090,38345854,373840,8081764,29770696
2025-07-29,56331864,10046348,12407834,6221617,6102605,11891225,32559774,17077605,20275300,3714405,12754866,14075281,15161630,4301849,19680499,7167866,4309210,21432942,38401141,374380,8093419,29813617
2025-07-30,56295820,10039920,12399894,6217637,6098701,11883617,32538942,17066677,20262328,3712029,12746706,14066277,15151930,4299097,19667907,7163278,4306454,21419230,38376569,374140,8088239,29794541
2025-07-31,56214721,10025457,12382029,6208682,6089917,11866499,32492070,17042089,20233141,3706683,12728346,14046018,15130105,4292905,19639575,7152955,4300253,21388378,38321282,373600,8076584,29751620
2025-08-01,55962217,9980433,12326421,6180794,6062561,11813187,32346134,16965537,20142253,3690023,12671170,13982934,15062149,4273613,19551347,7120811,4280933,21292310,38149138,371920,8040296,29617976
2025-08-04,55997129,9986597,12334073,6184610,6066253,11820567,32366274,16976097,20154765,3692243,12678998,13991618,15071437,4276257,19563539,7125319,4283573,21305578,38172934,372180,8045312,29636376
2025-08-05,56069313,9999469,12349969,6192578,6074069,11835807,32407994,16997977,20180741,3697003,12695342,14009650,15090861,4281769,19588755,7134503,4289093,21333042,38222142,372660,8055680,29674576
2025-08-06,55906881,9970507,12314185,6174632,6056465,11801517,32314106,16948729,20122277,3686293,12658568,13969060,15047139,4269367,19532001,7113839,4276673,21271248,38111406,371580,8032334,29588608
2025-08-07,55852731,9960853,12302257,6168650,6050597,11790087,32282810,16932313,20102789,3682723,12646310,13955530,15032565,4265233,19513083,7106951,4272533,21250644,38074494,371220,8024552,29559952
2025-08-08,55979081,9983379,12330089,6182608,6064289,11816757,32355834,16970617,20148261,3691053,12674912,13987100,15066571,4274879,19557225,7123023,4282193,21298720,38160622,372060,8042710,29626816
2025-08-11,56006156,9988206,12336053,6185599,6067223,11822472,32371482,16978825,20158005,3692838,12681041,13993865,15073858,4276946,19566684,7126467,4284263,21309022,38179078,372240,8046601,29641144
2025-08-12,56006156,9988206,12336053,6185599,6067223,11822472,32371482,16978825,20158005,3692838,12681041,13993865,15073858,4276946,19566684,7126467,4284263,21309022,38179078,372240,8046601,29641144
2025-08-13,55284236,9859486,12177013,6105839,5988983,11670072,31954202,16759945,19898165,3645238,12517601,13813465,14879538,4221826,19314444,7034627,4229063,21034302,37686918,367440,7942841,29259064
2025-08-14,55329356,9867531,12186953,6110824,5993873,11679597,31980282,16773625,19914405,3648213,12527816,13824740,14891683,4225271,19330209,7040367,4232513,21051472,37717678,367740,7949326,29282944
2025-08-15,55257164,9854659,12171049,6102848,5986049,11664357,31938554,16751737,19888421,3643453,12511472,13806700,14872251,4219759,19304985,7031183,4226993,21024000,37668462,367260,7938950,29244736
2025-08-18,55248135,9853049,12169060,6101851,5985071,11662451,31933335,16749000,19885171,3642858,12509428,13804444,14869821,4219069,19301831,7030034,4226302,21020565,37662307,367200,7937653,29239957
2025-08-19,55230003,9849823,12165123,6099860,5983151,11658661,31922965,16743513,19878658,3641685,12505287,13799995,14865006,4217650,19295482,7027675,4224874,21013687,37649995,367060,7935153,29230356
