date,cfg_price,fds_price,pru_price,fis_price,hig_price,schw_price,trow_price,ndaq_price,pfg_price,gpn_price,acgl_price,bk_price,cme_price,cinf_price,gs_price,ice_price,jpm_price,key_price,l_price,fitb_price,pypl_price,v_price,afl_price,ms_price,jkhy_price,kkr_price,coin_price,ivz_price,gl_price,met_price,bx_price,ben_price,mmc_price,pgr_price,spgi_price,usb_price,c_price,wfc_price,all_price,erie_price,wtw_price,pnc_price,cboe_price,msci_price,apo_price,wrb_price,ntrs_price,aon_price,bro_price,tfc_price,bac_price,trv_price,ma_price,mtb_price,aiz_price,blk_price,stt_price,aig_price,cpay_price,eg_price,cb_price,amp_price,brk_b_price,cof_price,hban_price,rf_price,ajg_price,axp_price,mco_price,rjf_price,syf_price,xyz_price,xlf_calculated_price,ibkr_price,hood_price,fisv_price,ares_price
2025-07-24,49.28,421.46,104.31,80.41,123.04,96.50,107.56,93.50,80.33,83.05,88.00,99.97,277.18,147.87,719.18,183.58,296.55,18.50,91.26,42.69,77.82,353.97,102.45,142.50,180.90,150.19,396.70,21.43,131.52,77.79,178.11,24.72,208.32,247.38,530.85,46.06,95.39,83.87,193.94,366.94,308.73,196.15,245.91,543.31,151.64,68.54,128.76,356.61,102.78,45.48,48.39,261.99,563.50,193.67,184.71,1118.37,110.98,79.23,333.55,331.89,270.18,517.10,480.60,211.33,16.64,26.30,309.06,308.25,513.09,166.84,71.81,79.77,53.26,,,,
2025-07-25,49.49,419.54,105.21,81.94,123.35,97.06,106.93,94.84,81.05,85.76,88.89,100.92,279.55,149.40,728.98,184.44,298.62,18.57,91.66,42.84,77.98,357.04,103.37,143.01,176.35,152.16,391.66,21.81,135.13,78.56,178.10,24.82,210.40,250.10,534.95,46.32,96.07,84.32,195.70,355.70,313.11,196.05,246.51,546.29,151.13,68.99,130.03,372.89,103.38,45.65,48.45,261.05,568.22,193.77,186.28,1123.28,112.93,80.10,335.87,336.86,269.15,521.06,484.07,212.85,16.84,26.42,315.14,311.61,512.95,168.53,72.90,80.74,53.63,,,,
2025-07-28,49.33,414.14,103.75,81.83,121.24,97.91,106.00,95.14,80.39,84.71,86.50,100.63,274.12,147.10,723.65,182.79,298.28,18.44,90.40,42.53,78.22,355.47,100.88,142.56,175.38,152.15,379.49,21.68,134.16,77.66,176.94,24.67,206.27,240.97,530.41,46.09,95.55,83.07,192.00,353.60,309.35,193.97,241.54,552.79,148.70,68.00,129.78,369.16,102.58,45.09,48.23,254.91,568.28,194.15,184.85,1117.82,112.45,79.23,333.46,331.35,265.99,518.45,481.70,214.18,16.64,26.30,309.12,310.74,507.50,167.42,72.87,80.57,52.97,,,,
2025-07-29,49.09,415.49,103.44,81.62,124.64,97.91,104.92,95.83,80.19,83.23,86.12,101.87,274.60,152.42,731.98,184.71,297.04,18.39,91.12,42.64,71.45,351.29,100.82,143.56,175.44,151.00,371.44,21.72,143.27,77.68,177.04,24.58,202.92,241.49,530.79,46.09,94.48,82.65,193.90,355.63,302.30,193.37,239.76,557.21,147.82,68.63,131.64,354.03,91.91,44.73,47.95,259.82,563.32,194.34,185.18,1121.53,113.25,78.92,331.92,332.28,268.55,520.99,476.56,213.82,16.75,26.19,288.35,308.54,510.50,168.02,71.30,78.18,52.80,,,,
2025-07-30,48.69,409.16,101.78,80.64,124.63,98.57,103.90,95.99,76.59,81.44,85.61,102.30,277.74,149.51,730.75,185.74,299.63,18.16,90.29,42.22,69.71,350.91,98.59,144.94,173.35,150.43,377.48,21.48,141.05,74.79,175.34,24.31,200.56,241.71,529.33,45.88,95.81,81.78,192.28,353.33,301.83,192.55,241.68,559.15,145.46,68.91,131.56,355.34,92.94,44.26,47.96,258.92,559.11,191.55,184.56,1114.65,113.11,77.41,329.16,332.56,266.51,519.75,476.00,215.23,16.58,25.70,285.84,303.41,512.62,169.46,70.26,77.59,52.98,,,,
2025-07-31,47.72,402.90,103.58,79.41,124.39,97.73,101.45,96.22,77.83,79.95,86.06,101.45,278.28,147.51,723.59,184.83,296.24,17.92,90.54,41.57,68.76,345.47,99.36,142.46,169.82,146.58,377.76,21.01,140.47,75.95,172.96,24.00,199.20,242.04,551.10,44.96,93.70,80.63,203.25,356.24,315.81,190.27,241.04,561.36,145.32,68.81,130.00,355.71,91.37,43.71,47.27,260.24,566.47,188.70,187.30,1106.01,111.75,77.63,323.05,335.80,266.04,518.19,471.88,215.00,16.43,25.33,287.25,299.31,515.73,167.13,69.67,77.26,52.26,,,,
2025-08-01,46.82,391.33,100.71,78.36,123.00,95.53,103.06,95.17,75.53,78.04,88.00,99.81,280.76,146.19,709.57,184.60,289.37,17.65,90.29,40.91,67.11,339.35,98.09,139.09,167.28,142.55,314.69,20.61,137.24,74.01,170.40,23.95,197.78,241.09,545.66,43.94,91.83,77.78,199.77,350.75,314.77,185.88,247.79,557.40,138.29,69.25,127.06,353.46,92.24,42.96,45.66,258.32,559.89,184.99,186.48,1091.80,108.59,77.00,316.40,331.34,267.40,501.52,472.84,207.47,16.04,24.89,284.17,294.27,501.28,163.03,67.53,74.03,50.96,,,,
2025-08-04,47.58,396.16,101.73,78.96,126.21,97.10,105.94,96.91,75.88,78.89,88.51,101.41,287.10,149.74,726.03,188.45,294.26,17.83,92.82,41.43,68.01,342.15,98.56,141.36,170.48,145.13,318.17,21.00,139.34,74.83,170.50,25.13,199.08,241.58,563.02,44.42,92.08,77.58,203.03,356.21,320.67,189.07,250.87,572.04,142.02,70.48,127.65,360.40,92.70,43.41,45.85,263.00,569.81,188.29,188.88,1116.06,109.78,78.29,324.34,326.04,267.74,506.28,459.11,210.79,16.27,25.18,284.61,298.59,519.85,166.48,69.25,76.12,51.56,,,,
2025-08-05,47.30,387.51,103.18,72.22,127.57,96.44,105.65,96.34,76.12,78.41,88.66,100.66,284.61,150.43,720.91,187.40,291.37,17.81,93.30,41.34,67.83,337.43,98.92,140.46,166.01,142.66,297.99,21.17,139.51,74.89,167.68,25.25,200.50,242.94,563.02,44.56,91.52,77.96,205.55,356.82,324.50,188.99,248.79,557.73,145.54,70.06,125.92,361.60,91.67,43.42,45.56,265.17,566.04,188.04,188.83,1109.64,110.06,78.44,318.58,327.92,267.68,505.03,464.19,212.00,16.20,25.18,285.78,296.64,515.85,166.62,69.99,75.29,51.51,,,,
2025-08-06,46.93,391.91,104.08,69.90,128.81,96.71,105.42,96.56,76.81,85.54,89.76,102.29,281.35,154.05,724.74,188.05,291.35,17.49,94.08,41.25,69.42,339.74,102.31,141.30,166.76,144.56,303.58,21.10,141.23,75.95,169.35,25.19,203.90,247.52,562.56,44.44,92.23,77.61,209.01,358.88,325.54,188.56,248.10,548.30,145.87,70.55,125.67,363.68,91.80,43.01,45.42,267.58,569.13,185.50,210.04,1120.54,110.76,79.06,315.07,328.49,269.63,508.43,468.91,212.88,16.04,24.93,286.26,295.54,517.48,166.76,69.45,76.13,51.88,,,,
