date,mco_shares,pfg_shares,fisv_shares,aig_shares,ntrs_shares,fitb_shares,aiz_shares,ndaq_shares,syf_shares,all_shares,gl_shares,hig_shares,schw_shares,gpn_shares,tfc_shares,hood_shares,cof_shares,rf_shares,mtb_shares,bro_shares,fis_shares,msci_shares,pru_shares,pypl_shares,brk_b_shares,rjf_shares,cfg_shares,cboe_shares,ajg_shares,cb_shares,wrb_shares,acgl_shares,blk_shares,kkr_shares,bk_shares,erie_shares,v_shares,pnc_shares,jpm_shares,cinf_shares,ares_shares,eg_shares,bac_shares,fds_shares,ma_shares,bx_shares,pgr_shares,ivz_shares,coin_shares,jkhy_shares,cpay_shares,usb_shares,xyz_shares,ms_shares,ice_shares,aon_shares,met_shares,afl_shares,key_shares,axp_shares,stt_shares,ibkr_shares,wfc_shares,gs_shares,spgi_shares,cme_shares,l_shares,trv_shares,c_shares,amp_shares,apo_shares,ben_shares,trow_shares,wtw_shares,mrsh_shares,hban_shares
2025-03-31,1147361,1559621,,4397495,1452488,4964786,380187,3067046,2881227,1964036,622131,2131542,12630319,1835376,9753340,,2825337,6737228,1229773,1758964,3925965,575470,2623830,7331975,13585263,1366861,3239857,775891,1885126,2762024,2225381,2778370,1079053,5003254,5319223,184820,12773068,2934646,20723998,1159142,,,49076252,281858,6036248,5424871,4341900,3320375,,540256,516650,11562280,,9171279,4258565,1602947,4290903,3668483,7382923,4113498,2138010,,24376379,2312827,2334741,2670767,1309464,1680406,13912495,712984,3313021,2297476,1650167,739663,,10774726
2025-04-01,1147361,1559621,,4397495,1452488,4964786,380187,3067046,2881227,1964036,622131,2131542,12630319,1835376,9753340,,2825337,6737228,1229773,1758964,3925965,575470,2623830,7331975,13585263,1366861,3239857,775891,1885126,2762024,2225381,2778370,1079053,5003254,5319223,184820,12773068,2934646,20723998,1159142,,,49076252,281858,6036248,5424871,4341900,3320375,,540256,516650,11562280,,9171279,4258565,1602947,4290903,3668483,7382923,4113498,2138010,,24376379,2312827,2334741,2670767,1309464,1680406,13912495,712984,3313021,2297476,1650167,739663,,10774726
2025-04-03,1151966,1566046,,4415647,1458458,4985055,381665,3079754,2893096,1972181,624761,2140355,12681987,1842724,9793139,,2836893,6764732,1234762,1766199,3941984,577958,2634476,7361938,13640797,1372447,3253133,779018,1892987,2773267,2234478,2789884,1083445,5023765,5340999,185659,12825333,2946557,20808658,1163918,,,49276854,283052,6060811,5447002,4359639,3334035,,542502,518825,11609529,,9208590,4275920,1609414,4308402,3683550,7413028,4130356,2146823,,24475962,2322208,2344193,2681826,1314837,1687357,13969465,715898,3326510,2306957,1656776,742819,,10818875
2025-04-07,1137441,1546221,,4359847,1440008,4922030,376815,3040854,2856571,1947256,616811,2113330,12521687,1819424,9669489,,2800993,6679395,1219137,1743924,3892109,570658,2601126,7268863,13468347,1355097,3212033,769143,1869062,2738292,2206253,2754634,1069745,4960290,5273399,183284,12663108,2909282,20545608,1149218,,,48654130,279502,5984186,5378127,4304464,3291935,,535652,512250,11462854,,9092378,4221845,1589039,4253977,3637075,7319466,4078106,2119698,,24166650,2292783,2314493,2647951,1298212,1665982,13792815,706848,3284548,2277832,1635851,733419,,10682150
2025-04-16,1129906,1535946,,4330803,1430418,4889287,374349,3020578,2837528,1934241,612701,2099219,12438203,1807368,9605099,,2782361,6634870,1211054,1732279,3866216,566822,2583864,7220502,13378894,1346055,3190661,764074,1856595,2720071,2191594,2736276,1062621,4927273,5238327,182051,12578853,2889965,20408882,1141546,,,48330262,277584,5944319,5342370,4275831,3270015,,532090,508825,11386545,,9031824,4193760,1578490,4225618,3612826,7270694,4050980,2105587,,24005812,2277576,2299149,2630278,1289581,1654885,13701025,702190,3262628,2262625,1625028,728487,,10611047
2025-04-22,1112526,1512246,,4263811,1408298,4813763,368661,2973810,2793604,1904221,603221,2066671,12245759,1779560,9456579,,2739385,6532170,1192410,1705419,3806492,557974,2544048,7108954,13171914,1325199,3141365,752382,1827839,2678043,2157782,2693932,1046189,4851117,5157431,179207,12384513,2845409,20093198,1123850,,,47582922,273160,5852363,5259894,4209787,3219455,,523874,500925,11210533,,8892152,4128980,1554158,4160206,3556894,7158198,3988412,2073039,,23634833,2242500,2263757,2589514,1269673,1629289,13489305,691446,3212068,2227549,1599748,717111,,10447043
2025-04-23,1113901,1514121,,4269111,1410048,4819738,369111,2977510,2797079,1906596,603971,2069246,12260984,1781760,9468329,,2742785,6540295,1193885,1707544,3811217,558674,2547198,7117779,13188289,1326849,3145265,753307,1830114,2681368,2160457,2697282,1047489,4857142,5163831,179432,12399888,2848934,20118173,1125250,,,47642047,273510,5859638,5266419,4215012,3223455,,524524,501550,11224458,,8903202,4134105,1556083,4165381,3561319,7167098,3993362,2075614,,23664208,2245275,2266557,2592739,1271248,1631314,13506055,692296,3216068,2230324,1601748,718011,,10460018
2025-04-25,1113901,1514121,,4269111,1410048,4819738,369111,2977510,2797079,1906596,603971,2069246,12260984,1781760,9468329,,2742785,6540295,1193885,1707544,3811217,558674,2547198,7117779,13188289,1326849,3145265,753307,1830114,2681368,2160457,2697282,1047489,4857142,5163831,179432,12399888,2848934,20118173,1125250,,,47642047,273510,5859638,5266419,4215012,3223455,,524524,501550,11224458,,8903202,4134105,1556083,4165381,3561319,7167098,3993362,2075614,,23664208,2245275,2266557,2592739,1271248,1631314,13506055,692296,3216068,2230324,1601748,718011,,10460018
2025-04-28,1119566,1521846,,4290947,1417258,4844355,370965,2992754,2811396,1916381,607061,2079855,12323711,1790824,9516739,,2756793,6573770,1199962,1716299,3830684,561558,2560176,7154138,13255754,1333647,3161333,757118,1839487,2695067,2171478,2711084,1052845,4881965,5190199,180359,12463233,2863457,20221070,1131018,,,47885642,274952,5889611,5293302,4236539,3239935,,527202,504125,11281829,,8948728,4155220,1564014,4186702,3579550,7203766,4013756,2086223,,23785233,2256708,2278093,2606026,1277737,1639657,13575065,695798,3232548,2241757,1609988,721719,,10513475
2025-05-13,1108511,1506771,,4248335,1403188,4796316,367347,2963006,2783457,1897286,601031,2059152,12201302,1773136,9422269,,2729457,6508445,1188103,1699214,3792695,555930,2534850,7083185,13124099,1320381,3129977,749681,1821196,2668334,2149971,2684150,1042393,4833524,5138743,178550,12339567,2835116,20020271,1119762,,,47410277,272138,5831120,5240841,4194530,3207775,,521976,499100,11169872,,8859886,4114015,1548537,4145095,3543973,7132210,3973958,2065520,,23549058,2234397,2255380,2580097,1265074,1623376,13440344,688964,3200388,2219446,1593908,714483,,10409156
