date,ldos_shares,ph_shares,wab_shares,br_shares,dov_shares,tdg_shares,ir_shares,cat_shares,payc_shares,csx_shares,wm_shares,hubb_shares,gww_shares,sna_shares,ge_shares,unp_shares,jci_shares,ftv_shares,expd_shares,nsc_shares,hwm_shares,hon_shares,rol_shares,ndsn_shares,jbht_shares,txt_shares,chrw_shares,pwr_shares,rok_shares,gev_shares,tt_shares,lii_shares,etn_shares,bldr_shares,odfl_shares,lhx_shares,gnrc_shares,rsg_shares,ups_shares,eme_shares,hii_shares,ctas_shares,j_shares,mmm_shares,aos_shares,pcar_shares,lmt_shares,ual_shares,efx_shares,mas_shares,fast_shares,ba_shares,itw_shares,luv_shares,vrsk_shares,otis_shares,uber_shares,xyl_shares,payx_shares,rtx_shares,fdx_shares,swk_shares,vlto_shares,adp_shares,cprt_shares,uri_shares,cmi_shares,alle_shares,emr_shares,ame_shares,fix_shares,iex_shares,dal_shares,gd_shares,axon_shares,noc_shares,pnr_shares,de_shares,carr_shares
2025-03-31,651169,639484,851422,580881,682695,278655,2003546,2372979,233807,9579886,1813627,265712,220361,260008,5331900,3000334,3278412,1693906,694185,1124004,2014214,3228569,1393275,269605,395171,906318,591616,731956,562131,1370023,1114932,158768,1962314,569784,934316,935280,294016,1009177,3631657,,194564,1703364,609929,2698151,588689,2606688,1040202,1636250,616772,1052442,2846373,3724378,1326340,2948052,702075,1969423,10372185,1204825,1593053,6614025,1100486,764705,1230458,2021507,4358667,324455,682837,429795,2800329,1150064,,375546,3185012,1260119,360200,675643,819429,1257657,4010617
2025-04-01,651169,639484,851422,580881,682695,278655,2003546,2372979,233807,9579886,1813627,265712,220361,260008,5331900,3000334,3278412,1693906,694185,1124004,2014214,3228569,1393275,269605,395171,906318,591616,731956,562131,1370023,1114932,158768,1962314,569784,934316,935280,294016,1009177,3631657,,194564,1703364,609929,2698151,588689,2606688,1040202,1636250,616772,1052442,2846373,3724378,1326340,2948052,702075,1969423,10372185,1204825,1593053,6614025,1100486,764705,1230458,2021507,4358667,324455,682837,429795,2800329,1150064,,375546,3185012,1260119,360200,675643,819429,1257657,4010617
2025-04-03,644545,632974,842804,574991,675782,275834,1983210,2351461,231420,9482577,1797492,264615,218129,257373,5280343,2973240,3245097,1676701,687117,1112565,1993785,3199450,1379108,266877,391172,897111,585633,726816,556427,1357804,1103617,157156,1944681,563987,924830,925773,291009,998947,3599346,,192580,1686066,603760,2670747,582737,2580224,1030931,1619665,610510,1041747,2817450,3690727,1312855,2918137,694945,1949428,10278364,1192580,1576871,6554086,1089295,756924,1217965,2000985,4314430,321169,675893,425403,2771871,1138387,,371733,3152638,1247316,356542,668771,811090,1246285,3969862
2025-04-07,637269,625834,833352,568531,668200,272740,1960906,2325009,228802,9375851,1777262,261657,215681,254483,5220945,2939784,3208547,1657831,679365,1100019,1971379,3163444,1363570,263885,386786,887013,579071,718656,550171,1342538,1091207,155388,1922819,557629,914426,915335,287711,987727,3558852,,190404,1667094,596994,2640691,576209,2551188,1019337,1601475,603642,1030017,2785728,3649213,1298065,2885327,687125,1927498,10162730,1179150,1559123,6480340,1077021,748390,1204263,1978477,4265912,317565,668277,420575,2740659,1125569,,367551,3117137,1233274,352530,661223,801944,1232277,3925152
2025-04-16,624001,612814,816116,556759,654374,267098,1920234,2276773,224028,9181253,1740372,256263,211217,249213,5112631,2878776,3141897,1623421,665229,1077141,1930521,3097786,1335236,258429,378788,868599,567105,703776,538763,1314700,1068577,152164,1882953,546035,895454,896301,281697,967267,3485010,,186436,1632498,584664,2585883,564305,2498240,998195,1568305,591118,1008627,2727890,3573511,1271095,2825497,672865,1887516,9951868,1154668,1526759,6345862,1054639,732828,1179277,1937433,4177438,310993,654389,411771,2683743,1102195,,359925,3052367,1207668,345214,647459,785266,1206733,3843622
2025-04-22,633203,621844,828070,564972,663963,271011,1948442,2310227,227339,9316290,1765957,260004,214313,252868,5187770,2921088,3188122,1647304,675033,1093008,1958876,3143323,1354887,262213,384335,881370,575404,714096,546675,1334007,1084272,154400,1910620,554076,908612,909502,285868,981475,3536223,,189188,1656510,593264,2623895,572561,2534962,1012858,1591328,599804,1023462,2768052,3626014,1289800,2866992,682755,1915294,10098129,1171696,1549205,6439129,1070162,743621,1196606,1965917,4238817,315551,664021,417877,2723217,1118406,,365214,3097302,1225427,350288,657005,796833,1224449,3900167
2025-04-23,630207,618904,824178,562298,660841,269737,1939258,2299335,226261,9272330,1757627,258786,213305,251678,5163298,2907312,3173072,1639520,671841,1087842,1949636,3128497,1348489,260981,382529,877212,572702,710736,544099,1327721,1079162,153672,1901604,551458,904328,905204,284510,976841,3519549,,188292,1648684,590464,2611519,569873,2523006,1008084,1583824,596976,1018632,2754976,3608920,1283710,2853482,679535,1906250,10050501,1166152,1541897,6408763,1065108,740107,1190964,1956635,4218825,314067,660885,415889,2710365,1113128,,363492,3082672,1219645,348636,653897,793067,1218681,3881757
2025-04-25,629565,618274,823344,561725,660172,269464,1937290,2297001,226030,9262910,1755842,258525,213089,251423,5158054,2904360,3169847,1637852,671157,1086735,1947656,3125320,1347118,260717,382142,876321,572123,710016,543547,1326374,1078067,153516,1899672,550897,903410,904283,284219,975848,3515976,,188100,1647007,589864,2608867,569297,2520444,1007061,1582216,596370,1017597,2752174,3605257,1282405,2850587,678845,1904312,10040295,1164964,1540331,6402256,1064025,739354,1189755,1954646,4214541,313749,660213,415463,2707611,1111997,,363123,3079537,1218406,348282,653231,792260,1217445,3877812
2025-04-28,629351,618064,823066,561534,659949,269373,1936634,2296223,225953,9259770,1755247,258438,213017,251338,5156306,2903376,3168772,1637296,670929,1086366,1946996,3124261,1346661,260629,382013,876024,571930,709776,543363,1325925,1077702,153464,1899028,550710,903104,903976,284122,975517,3514785,,188036,1646448,589664,2607983,569105,2519590,1006720,1581680,596168,1017252,2751240,3604036,1281970,2849622,678615,1903666,10036893,1164568,1539809,6400087,1063664,739103,1189352,1953983,4213113,313643,659989,415321,2706693,1111620,,363000,3078492,1217993,348164,653009,791991,1217033,3876497
2025-05-13,618865,608274,809444,552775,649022,264914,1904490,2258101,222180,9105910,1726092,254175,209489,247173,5070654,2855160,3118297,1610052,661157,1069585,1914656,3072370,1326668,256317,375692,861471,562473,698016,534347,1303924,1059817,151216,1867472,543647,888110,889533,281569,959298,3456426,,184900,1620257,579864,2564667,559697,2477744,990011,1555416,586270,1000347,2708574,3544207,1261655,2802337,667345,1872012,9870195,1147564,1514231,6293806,1046675,726804,1169605,1921896,4143141,308449,649013,410563,2663611,1093147,,357673,3030887,1198656,342382,642731,780510,1196845,3814562
