date,nxpi_shares,hpq_shares,amat_shares,ctsh_shares,klac_shares,cdw_shares,adbe_shares,crm_shares,mchp_shares,wday_shares,txn_shares,fico_shares,qcom_shares,ntap_shares,msft_shares,ffiv_shares,ftnt_shares,cohr_shares,acn_shares,jbl_shares,cien_shares,wdc_shares,it_shares,mu_shares,q_shares,now_shares,adi_shares,nvda_shares,app_shares,lite_shares,tyl_shares,crwd_shares,lrcx_shares,mpwr_shares,vrsn_shares,intu_shares,pltr_shares,msi_shares,panw_shares,avgo_shares,trmb_shares,swks_shares,gen_shares,fslr_shares,dell_shares,sndk_shares,zbra_shares,rop_shares,ter_shares,ibm_shares,glw_shares,gddy_shares,smci_shares,ptc_shares,tdy_shares,stx_shares,aapl_shares,intc_shares,epam_shares,anet_shares,ddog_shares,tel_shares,hpe_shares,adsk_shares,amd_shares,orcl_shares,akam_shares,cdns_shares,on_shares,keys_shares,aph_shares,snps_shares,csco_shares
2025-03-31,1982959,7316794,6340718,3858990,1036779,1039689,3396276,7466599,4196127,1669678,7102490,190509,8629078,1586195,22297990,449829,4963360,,4880066,854543,,2713717,599279,8692864,,1607220,3870700,73457083,,,333973,1921702,10015191,373154,634771,2183907,15992769,1303901,5165708,15216858,1917723,1254086,4231400,835238,2433909,,400817,836645,1270613,7214159,6014642,1101742,3928957,938756,363534,1651739,45058304,33782844,442541,8059546,,2327770,10247318,1677426,12643081,12656742,1172131,2139857,3287911,1348979,9448936,1206029,31073716
2025-04-01,1982959,7316794,6340718,3858990,1036779,1039689,3396276,7466599,4196127,1669678,7102490,190509,8629078,1586195,22297990,449829,4963360,,4880066,854543,,2713717,599279,8692864,,1607220,3870700,73457083,,,333973,1921702,10015191,373154,634771,2183907,15992769,1303901,5165708,15216858,1917723,1254086,4231400,835238,2433909,,400817,836645,1270613,7214159,6014642,1101742,3928957,938756,363534,1651739,45058304,33782844,442541,8059546,,2327770,10247318,1677426,12643081,12656742,1172131,2139857,3287911,1348979,9448936,1206029,31073716
2025-04-03,1979212,7303093,6328958,3851817,1034908,1037818,3389978,7452686,4188252,1666581,7089231,190206,8613034,1583280,22256559,448993,4954086,,4870961,852962,,2708736,598231,8676690,,1604253,3863401,73320356,,,333271,1918185,9996548,372374,633545,2179844,15963020,1301471,5156105,15188534,1914106,1251760,4223547,833696,2429413,,400085,835090,1268261,7200666,6003458,1099641,3921741,936993,362880,1648681,44974467,33719989,441718,8044585,,2323408,10228181,1674316,12619539,12633174,1169874,2135785,3281834,1346558,9431376,1203807,31015829
2025-04-07,1967728,7260721,6292238,3829461,1028896,1031806,3370286,7409450,4163952,1656897,7048083,189090,8563030,1574100,22127391,446401,4925322,,4842701,847994,,2693004,594775,8626326,,1594929,3840973,72894836,,,331327,1907061,9938516,370214,629873,2167208,15870392,1293911,5126189,15100370,1902982,1244488,4199031,828872,2415301,,397745,830230,1260917,7158870,5968610,1093269,3898989,931557,360756,1639105,44713467,33524293,439162,7997893,,2309908,10168817,1664596,12546315,12559842,1163070,2123401,3262790,1338746,9376656,1196823,30835829
2025-04-16,1974608,7286099,6314176,3842881,1032436,1035346,3382126,7435308,4178452,1662677,7072743,189710,8592910,1579500,22204589,447941,4942502,,4859601,851054,,2702344,596795,8656406,,1600509,3854433,73149288,,,332507,1913641,9973256,371514,632113,2174766,15925790,1298411,5144109,15153050,1909662,1248828,4213651,831752,2423741,,399245,833130,1265335,7183890,5989470,1097109,3912529,934877,362036,1644825,44869481,33641389,440682,8025733,,2318008,10204297,1670396,12590033,12603682,1167150,2130881,3274170,1343386,9409294,1201003,30943505
2025-04-22,1976522,7293167,6320302,3846607,1033438,1036348,3385408,7442520,4182502,1664291,7079601,189896,8601244,1581030,22226123,448373,4947296,,4864311,851882,,2704966,597371,8664800,,1602063,3858171,73220227,,,332831,1915495,9982928,371874,632725,2176878,15941234,1299671,5149095,15167744,1911516,1250040,4217737,832556,2426093,,399635,833940,1266565,7190856,5995278,1098171,3916321,935783,362390,1646421,44912993,33674017,441108,8033515,,2320258,10214191,1672016,12602243,12615904,1168284,2132945,3277344,1344688,9418420,1202167,30973520
2025-04-23,1978117,7299057,6325407,3849712,1034273,1037183,3388143,7448530,4185877,1665636,7085316,190051,8608189,1582305,22244068,448733,4951291,,4868236,852572,,2707151,597851,8671795,,1603358,3861286,73279347,,,333101,1917040,9990988,372174,633235,2178638,15954104,1300721,5153250,15179989,1913061,1251050,4221142,833226,2428053,,399960,834615,1267590,7196661,6000118,1099056,3919481,936538,362685,1647751,44949258,33701207,441463,8040000,,2322133,10222436,1673366,12612418,12626089,1169229,2134665,3279989,1345773,9426025,1203137,30998530
2025-04-25,1976203,7291989,6319281,3845986,1033271,1036181,3384861,7441318,4181827,1664022,7078458,189865,8599855,1580775,22222534,448301,4946497,,4863526,851744,,2704529,597275,8663401,,1601804,3857548,73208403,,,332777,1915186,9981316,371814,632623,2176526,15938660,1299461,5148264,15165295,1911207,1249838,4217056,832422,2425701,,399570,833805,1266360,7189695,5994310,1097994,3915689,935632,362331,1646155,44905740,33668579,441037,8032218,,2319883,10212542,1671746,12600208,12613867,1168095,2132601,3276815,1344471,9416899,1201973,30968518
2025-04-28,1973651,7282565,6311113,3841018,1031935,1034845,3380485,7431702,4176427,1661870,7069314,189617,8588743,1578735,22193822,447725,4940105,,4857246,850640,,2701033,596507,8652209,,1599732,3852564,73113811,,,332345,1912714,9968420,371334,631807,2173710,15918068,1297781,5141616,15145703,1908735,1248222,4211608,831350,2422565,,399050,832725,1264720,7180407,5986566,1096578,3910633,934424,361859,1644027,44847724,33625075,440469,8021842,,2316883,10199350,1669586,12583928,12597571,1166583,2129849,3272583,1342735,9404731,1200421,30928502
2025-05-13,1967271,7259005,6290693,3828598,1028595,1031505,3369545,7407662,4162927,1656490,7046454,188997,8560963,1573635,22122015,446285,4924125,,4841519,847880,,2692293,594587,8624229,,1594552,3840104,72877297,,,331265,1906534,9936180,370134,629767,2166670,15866561,1293581,5124969,15096696,1902555,1244182,4197988,828670,2414725,,397750,830025,1260620,7157187,5967206,1093038,3897993,931404,360679,1638707,44702635,33516315,439049,7995902,,2309383,10166343,1664186,12543228,12556831,1162803,2122969,3262003,1338395,9374311,1196541,30828462
