date,mdlz_shares,hrl_shares,ko_shares,wmt_shares,sjm_shares,pg_shares,bg_shares,syy_shares,cpb_shares,dltr_shares,pm_shares,adm_shares,gis_shares,kdp_shares,casy_shares,pep_shares,kmb_shares,tgt_shares,hsy_shares,cl_shares,chd_shares,clx_shares,stz_shares,kr_shares,mnst_shares,cag_shares,dg_shares,bf_b_shares,mo_shares,cost_shares,kvue_shares,tap_shares,el_shares,khc_shares,tsn_shares,mkc_shares
2025-03-31,11240330,2953834,15000513,16806866,1080247,9084697,1355056,4966328,1997331,2051987,6023984,4857753,5595755,12120067,,5313602,3367010,4651424,1499803,8042245,2496926,1250566,1577554,6757961,7108126,4845447,2232535,1848796,12634339,1719784,19462701,1747758,2377164,8855478,2905182,2563422
2025-04-01,11240330,2953834,15000513,16806866,1080247,9084697,1355056,4966328,1997331,2051987,6023984,4857753,5595755,12120067,,5313602,3367010,4651424,1499803,8042245,2496926,1250566,1577554,6757961,7108126,4845447,2232535,1848796,12634339,1719784,19462701,1747758,2377164,8855478,2905182,2563422
2025-04-03,11273346,2962510,15044569,16856230,1083415,9111377,1359040,4980912,2003199,2058011,6041676,4872021,5612195,12155663,,5329206,3376898,4665084,1504207,8065865,2504258,1254238,1582186,6777809,7129006,4859679,2239091,1854224,12671447,1724836,19519865,1752894,2384148,8881486,2913714,2570950
2025-04-07,10765422,2829009,14366718,16096725,1034647,8700789,1297656,4756520,1912956,1965337,5769451,4652478,5359305,11607934,,5089119,3224810,4454891,1436478,7702462,2391501,1197716,1511004,6472324,6807726,4640797,2138102,1770613,12100556,1647109,18640310,1673958,2276714,8481270,2782457,2455014
2025-04-16,10540358,2769826,14066374,15760258,1012927,8518989,1270640,4657071,1872924,1924074,5648792,4555258,5247186,11365291,,4982672,3157310,4361859,1406482,7541403,2341374,1172688,1479436,6337184,6665518,4543641,2093466,1733649,11847625,1612761,18250710,1638994,2229198,8303998,2724230,2403750
2025-04-22,10468691,2751002,13970719,15653127,1006037,8461085,1262008,4625394,1860175,1910996,5610381,4524283,5211505,11288043,,4948785,3135860,4332226,1396905,7490129,2325462,1164697,1469381,6294100,6620198,4512744,2079244,1721871,11767101,1601780,18126618,1627866,2214031,8247550,2705718,2387422
2025-04-23,10545859,2771274,14073703,15768487,1013457,8523441,1271304,4659498,1873895,1925080,5651737,4557631,5249921,11371231,,4985269,3158960,4364146,1407209,7545345,2342598,1173293,1480217,6340496,6669002,4546008,2094560,1734555,11853817,1613596,18260206,1639850,2230355,8308338,2725654,2405006
2025-04-25,10551371,2772722,14081059,15776729,1013987,8527895,1271968,4661934,1874875,1926086,5654691,4560013,5252665,11377175,,4987875,3160612,4366426,1407945,7549289,2343822,1173907,1480991,6343810,6672488,4548384,2095654,1735461,11860013,1614440,18269750,1640708,2231521,8312680,2727078,2406262
2025-04-28,10782875,2833538,14390011,16122893,1036247,8714963,1299856,4764246,1916035,1968338,5778759,4660057,5367913,11626823,,5097327,3229996,4462186,1438857,7714937,2395230,1199695,1513499,6482998,6818900,4648176,2141602,1773513,12120245,1649888,18670598,1676744,2280493,8495044,2786886,2459014
2025-05-13,10577083,2779570,14115441,15815240,1016517,8548667,1275032,4673270,1879455,1930892,5668545,4571095,5265609,11444719,,5000081,3168364,4377024,1411281,7567733,2349646,1176721,1484465,6359224,6688674,4559560,2100848,1739767,11888909,1618284,18314320,1644666,2236887,8332948,2733802,2412136
