date,eqr_shares,vici_shares,maa_shares,invh_shares,bxp_shares,exr_shares,hst_shares,udr_shares,ess_shares,well_shares,avb_shares,psa_shares,spg_shares,vtr_shares,eqix_shares,cbre_shares,wy_shares,sbac_shares,pld_shares,dlr_shares,amt_shares,csgp_shares,reg_shares,cci_shares,o_shares,cpt_shares,doc_shares,kim_shares,frt_shares,irm_shares,are_shares
2025-03-31,2346401,7237296,801255,3904622,997367,1455349,4790854,2063445,440435,4181871,975378,1081810,2105325,3001218,668149,2029188,4982263,738257,6361864,2172253,3207495,2893240,1118657,2983416,6008082,731181,4794570,4669624,529520,2016847,1055898
2025-04-01,2346401,7237296,801255,3904622,997367,1455349,4790854,2063445,440435,4181871,975378,1081810,2105325,3001218,668149,2029188,4982263,738257,6361864,2172253,3207495,2893240,1118657,2983416,6008082,731181,4794570,4669624,529520,2016847,1055898
2025-04-03,2334340,7199874,798626,3892040,989753,1447852,4754281,2055717,439060,4160196,970366,1076288,2094500,2985762,664646,2018730,4944327,732654,6329011,2161115,3190846,2878294,1110138,2967994,5977015,725592,4776570,4634091,525510,2006397,1051825
2025-04-07,2303842,7105758,788184,3841164,976781,1428946,4691859,2028853,433310,4105778,957670,1062212,2067130,2946754,655952,1992326,4879559,723040,6246257,2132871,3149124,2840666,1095556,2929170,5898861,716070,4714102,4573417,518610,1980177,1038071
2025-04-16,2313826,7139926,791589,3857793,986050,1435140,4736253,2037652,435185,4126062,961810,1067402,2077194,2959503,659187,2001936,4914957,728275,6277120,2143220,3164668,2854375,1104611,2943430,5927600,721875,4734511,4603241,522560,1988766,1042556
2025-04-22,2316482,7148118,792497,3862221,987182,1436788,4741685,2039992,435685,4130798,962914,1068626,2079578,2962899,659943,2004232,4920597,729111,6284324,2145680,3168300,2857651,1105879,2946806,5934404,722703,4739947,4608521,523160,1991050,1043752
2025-04-23,2334410,7203414,798626,3892110,994823,1447912,4778351,2055787,439060,4162766,970366,1076888,2095670,2985822,665046,2019730,4958667,734754,6332951,2162285,3192816,2879764,1114438,2969594,5980331,728292,4776640,4644161,527210,2006467,1051825
2025-04-25,2343706,7232086,801804,3907608,998785,1453680,4797363,2063977,440810,4179342,974230,1081172,2104014,2997708,667692,2027766,4978407,737680,6358165,2170895,3205528,2891230,1118876,2981410,6004145,731190,4795666,4662641,529310,2014461,1056011
2025-04-28,2348354,7246422,803393,3915357,1000766,1456564,4806869,2068072,441685,4187630,976162,1083314,2108186,3003651,669015,2031784,4988277,739143,6370772,2175200,3211884,2896963,1121095,2987318,6016052,732639,4805179,4671881,530360,2018458,1058104
2025-05-13,2348906,7245669,803504,3915908,998785,1457080,4804646,2069477,441710,4187542,976430,1083272,2108014,3004591,668992,2031666,4987207,739080,6370665,2174995,3211828,2896630,1121976,2987093,6015645,733290,4808349,4670424,529310,2018961,1058811
2025-05-14,2348906,7245669,803504,3915908,998785,1457080,4804646,2069477,441710,4187542,976430,1083272,2108014,3004591,668992,2031666,4987207,739080,6370665,2174995,3211828,2896630,1121976,2987093,6015645,733290,4808349,4670424,529310,2018961,1058811
2025-05-16,2348906,7245669,803504,3915908,998785,1457080,4804646,2069477,441710,4187542,976430,1083272,2108014,3004591,668992,2031666,4987207,739080,6370665,2174995,3211828,2896630,1121976,2987093,6015645,733290,4808349,4670424,529310,2018961,1058811
2025-05-19,2348906,7245669,803504,3915908,998785,1457080,4804646,2069477,441710,4187542,976430,1083272,2108014,3004591,668992,2031666,4987207,739080,6370665,2174995,3211828,2896630,1121976,2987093,6015645,733290,4808349,4670424,529310,2018961,1058811
2025-05-20,2348906,7245669,803504,3915908,998785,1457080,4804646,2069477,441710,4187542,976430,1083272,2108014,3004591,668992,2031666,4987207,739080,6370665,2174995,3211828,2896630,1121976,2987093,6015645,733290,4808349,4670424,529310,2018961,1058811
2025-05-21,2342838,7226558,800780,3906001,997989,1453236,4788338,2062457,440210,4176131,973918,1080300,2102362,2996791,667124,2026255,4970264,737172,6353130,2169115,3203009,2889002,1118172,2979153,5999410,730806,4792029,4654572,528910,2013709,1055200
2025-07-07,2363397,7302863,809081,3940027,1004991,1466604,4786357,2080129,444973,4293046,982731,1091104,2120398,3119029,676011,2029356,5012907,742672,6412193,2187764,3234918,2915625,1127291,3009324,6240781,737186,4793431,4676224,535668,2039102,1062261
2025-07-08,2363397,7302863,809081,3940027,1004991,1466604,4786357,2080129,444973,4293046,982731,1091104,2120398,3119029,676011,2029356,5012907,742672,6412193,2187764,3234918,2915625,1127291,3009324,6240781,737186,4793431,4676224,535668,2039102,1062261
2025-07-09,2354143,7274289,805917,3924613,1001057,1460864,4767597,2071981,443237,4276246,978881,1086834,2112096,3106821,673365,2021418,4993293,739760,6387105,2179196,3222262,2904215,1122867,2997550,6216365,734302,4774643,4657926,533568,2031122,1058103
2025-07-10,2354804,7276330,806143,3925714,1001338,1461274,4768937,2072563,443361,4277446,979156,1087139,2112689,3107693,673554,2021985,4994694,739968,6388897,2179808,3223166,2905030,1123183,2998391,6218109,734508,4775985,4659233,533718,2031692,1058400
2025-07-11,2358770,7288576,807499,3932320,1003024,1463734,4776977,2076055,444105,4284646,980806,1088969,2116247,3112925,674688,2025387,5003100,741216,6399649,2183480,3228590,2909920,1125079,3003437,6228573,735744,4784037,4667075,534618,2035112,1060182
2025-07-14,2358770,7288576,807499,3932320,1003024,1463734,4776977,2076055,444105,4284646,980806,1088969,2116247,3112925,674688,2025387,5003100,741216,6399649,2183480,3228590,2909920,1125079,3003437,6228573,735744,4784037,4667075,534618,2035112,1060182
2025-07-15,2358770,7288576,807499,3932320,1003024,1463734,4776977,2076055,444105,4284646,980806,1088969,2116247,3112925,674688,2025387,5003100,741216,6399649,2183480,3228590,2909920,1125079,3003437,6228573,735744,4784037,4667075,534618,2035112,1060182
2025-07-16,2365141,7308859,809648,3942777,1007470,1467786,4798168,2085223,445328,4296991,983484,1092053,2122245,3121464,676579,2031057,5016450,743206,6418127,2189693,3237941,2918039,1130013,3011912,6246276,738960,4805209,4679077,536972,2040712,1064887
2025-07-17,2365141,7308859,809648,3942777,1007470,1467786,4798168,2085223,445328,4296991,983484,1092053,2122245,3121464,676579,2031057,5016450,743206,6418127,2189693,3237941,2918039,1130013,3011912,6246276,738960,4805209,4679077,536972,2040712,1064887
2025-07-18,2394886,7400749,819818,3992322,1020115,1486236,4858468,2111458,450908,4350991,995859,1105778,2148930,3160704,685084,2056572,5079495,752566,6498812,2217233,3278666,2954714,1144233,3049757,6324801,748230,4865599,4737892,543722,2066362,1078252
2025-07-21,2400174,7417085,821626,4001130,1022363,1489516,4869188,2116122,451900,4360591,998059,1108218,2153674,3167680,686596,2061108,5090703,754230,6513156,2222129,3285906,2961234,1146761,3056485,6338761,749878,4876335,4748348,544922,2070922,1080628
2025-07-22,2400174,7417085,821626,4001130,1022363,1489516,4869188,2116122,451900,4360591,998059,1108218,2153674,3167680,686596,2061108,5090703,754230,6513156,2222129,3285906,2961234,1146761,3056485,6338761,749878,4876335,4748348,544922,2070922,1080628
2025-07-23,2396208,7404833,820270,3994524,1020677,1487056,4861148,2112624,451156,4353391,996409,1106388,2150116,3162448,685462,2057706,5082297,752982,6502398,2218457,3280476,2956344,1144865,3051439,6328291,748642,4868283,4740506,544022,2067502,1078846
2025-07-24,2396208,7404833,820270,3994524,1020677,1487056,4861148,2112624,451156,4353391,996409,1106388,2150116,3162448,685462,2057706,5082297,752982,6502398,2218457,3280476,2956344,1144865,3051439,6328291,748642,4868283,4740506,544022,2067502,1078846
2025-07-25,2400174,7417085,821626,4001130,1022363,1489516,4869188,2116122,451900,4360591,998059,1108218,2153674,3167680,686596,2061108,5090703,754230,6513156,2222129,3285906,2961234,1146761,3056485,6338761,749878,4876335,4748348,544922,2070922,1080628
2025-07-28,2396208,7404833,820270,3994524,1020677,1487056,4861148,2112624,451156,4353391,996409,1106388,2150116,3162448,685462,2057706,5082297,752982,6502398,2218457,3280476,2956344,1144865,3051439,6328291,748642,4868283,4740506,544022,2067502,1078846
2025-07-29,2396208,7404833,820270,3994524,1020677,1487056,4861148,2112624,451156,4353391,996409,1106388,2150116,3162448,685462,2057706,5082297,752982,6502398,2218457,3280476,2956344,1144865,3051439,6328291,748642,4868283,4740506,544022,2067502,1078846
2025-07-30,2390259,7386455,818236,3984615,1018148,1483366,4849088,2107377,450040,4342591,993934,1103643,2144779,3154600,683761,2052603,5069688,751110,6486261,2212949,3272331,2949009,1142021,3043870,6312586,746788,4856205,4728743,542672,2062372,1076173
2025-07-31,2392903,7394623,819140,3989019,1019272,1485006,4854448,2109709,450536,4347391,995034,1104863,2147151,3158088,684517,2054871,5075292,751942,6493433,2215397,3275951,2952269,1143285,3047234,6319566,747612,4861573,4733971,543272,2064652,1077361
2025-08-01,2396869,7406875,820496,3995625,1020958,1487466,4862488,2113207,451280,4354591,996684,1106693,2150709,3163320,685651,2058273,5083698,753190,6504191,2219069,3281381,2957159,1145181,3052280,6330036,748848,4869625,4741813,544172,2068072,1079143
2025-08-04,2391581,7390539,818688,3986809,1018702,1484186,4851760,2108543,450288,4344983,994484,1104253,2145965,3156344,684139,2053729,5072482,751526,6489847,2214173,3274141,2950639,1142653,3045544,6316076,747200,4858881,4731357,542972,2063512,1076759
2025-08-05,2390920,7388497,818462,3985707,1018420,1483776,4850419,2107960,450164,4343782,994209,1103948,2145372,3155472,683950,2053161,5071080,751318,6488054,2213561,3273236,2949824,1142337,3044702,6314331,746994,4857538,4730050,542822,2062942,1076461
2025-08-06,2419343,7476303,828180,4033093,1030546,1501406,4908082,2133029,455496,4395425,1006034,1117063,2170871,3192968,692077,2077585,5131366,760262,6565153,2239877,3312151,2984869,1155925,3080908,6389366,755852,4915287,4786251,549272,2087452,1089275
2025-08-07,2406123,7435463,823660,4011053,1024906,1493206,4881262,2121369,453016,4371405,1000534,1110963,2159011,3175528,688297,2066225,5103326,756102,6529293,2227637,3294051,2968569,1149605,3064068,6354466,751732,4888427,4760111,546272,2076052,1083315
2025-08-08,2406123,7435463,823660,4011053,1024906,1493206,4881262,2121369,453016,4371405,1000534,1110963,2159011,3175528,688297,2066225,5103326,756102,6529293,2227637,3294051,2968569,1149605,3064068,6354466,751732,4888427,4760111,546272,2076052,1083315
2025-08-11,2395547,7407291,820044,3993421,1020394,1487646,4859806,2112041,451032,4354389,996734,1106683,2150723,3163576,685673,2058337,5080894,753274,6503905,2219045,3281171,2957329,1144549,3052396,6330046,748436,4866939,4739199,543872,2068332,1078547
2025-08-12,2395547,7407291,820044,3993421,1020394,1487646,4859806,2112041,451032,4354389,996734,1106683,2150723,3163576,685673,2058337,5080894,753274,6503905,2219045,3281171,2957329,1144549,3052396,6330046,748436,4866939,4739199,543872,2068332,1078547
2025-08-13,2395547,7407291,820044,3993421,1020394,1487646,4859806,2112041,451032,4354389,996734,1106683,2150723,3163576,685673,2058337,5080894,753274,6503905,2219045,3281171,2957329,1144549,3052396,6330046,748436,4866939,4739199,543872,2068332,1078547
2025-08-14,2395547,7407291,820044,3993421,1020394,1487646,4859806,2112041,451032,4354389,996734,1106683,2150723,3163576,685673,2058337,5080894,753274,6503905,2219045,3281171,2957329,1144549,3052396,6330046,748436,4866939,4739199,543872,2068332,1078547
2025-08-15,2395547,7407291,820044,3993421,1020394,1487646,4859806,2112041,451032,4354389,996734,1106683,2150723,3163576,685673,2058337,5080894,753274,6503905,2219045,3281171,2957329,1144549,3052396,6330046,748436,4866939,4739199,543872,2068332,1078547
2025-08-18,2395547,7407291,820044,3993421,1020394,1487646,4859806,2112041,451032,4354389,996734,1106683,2150723,3163576,685673,2058337,5080894,753274,6503905,2219045,3281171,2957329,1144549,3052396,6330046,748436,4866939,4739199,543872,2068332,1078547
