date,aes_shares,vst_shares,ed_shares,awk_shares,pnw_shares,pcg_shares,peg_shares,eix_shares,so_shares,cms_shares,etr_shares,lnt_shares,es_shares,wec_shares,ni_shares,duk_shares,dte_shares,ppl_shares,ceg_shares,fe_shares,exc_shares,aee_shares,d_shares,sre_shares,nee_shares,cnp_shares,aep_shares,xel_shares,evrg_shares,ato_shares,nrg_shares
2025-03-31,10479130,5014239,5106024,2872304,1675681,32328782,7342779,5705768,16148139,4403637,6319854,3781701,5405669,4681979,6925959,11436633,3054302,10880952,4610645,7559380,14814822,3977805,12380080,9334996,30307152,9605039,7858468,8463136,3389322,2339336,2985383
2025-04-01,10479130,5014239,5106024,2872304,1675681,32328782,7342779,5705768,16148139,4403637,6319854,3781701,5405669,4681979,6925959,11436633,3054302,10880952,4610645,7559380,14814822,3977805,12380080,9334996,30307152,9605039,7858468,8463136,3389322,2339336,2985383
2025-04-03,10602090,5073069,5165914,2906012,1695344,32708076,7428902,5772707,16337614,4455312,6394001,3826062,5469110,4736887,7007208,11570829,3090130,11008629,4664758,7648049,14988635,4024498,12525326,9444520,30662729,9717717,7950688,8562431,3429072,2366790,3020416
2025-04-07,10451290,5000919,5092464,2864672,1671229,32242871,7323277,5690612,16105239,4391937,6303066,3771657,5391305,4669547,6907563,11406249,3046190,10852044,4598393,7539304,14775435,3967233,12347161,9310222,30226644,9579527,7837588,8440678,3380322,2333120,2977451
2025-04-16,10402570,4977609,5068713,2851316,1663438,32092497,7289131,5664089,16030143,4371462,6273687,3754080,5366168,4647770,6875349,11353077,3031994,10801455,4576952,7504150,14706555,3948732,12289600,9266815,30085713,9534860,7801048,8401324,3364516,2322242,2963570
2025-04-22,10544090,5045319,5137704,2890112,1686069,32529135,7388317,5741132,16248279,4430937,6359026,3805137,5439185,4711027,6968923,11507529,3073230,10948404,4639233,7606264,14906635,4002473,12456801,9392902,30495084,9664607,7907188,8515638,3410266,2353840,3003891
2025-04-23,10541770,5044209,5136573,2889476,1685698,32521977,7386691,5739869,16244703,4429962,6357627,3804300,5437988,4709990,6967389,11504997,3072554,10945995,4638212,7604590,14903355,4001592,12454060,9390835,30488373,9662480,7905448,8513764,3409516,2353322,3003230
2025-04-25,10555690,5050869,5143359,2893292,1687924,32564925,7396447,5747447,16266159,4435812,6366021,3809322,5445170,4716212,6976593,11520189,3076610,10960449,4644338,7614634,14923035,4006878,12470506,9403237,30528639,9675242,7915888,8525008,3414016,2356430,3007196
2025-04-28,10578890,5061969,5154669,2899652,1691634,32636505,7412707,5760077,16301919,4445562,6380011,3817692,5457140,4726582,6991933,11545509,3083370,10984539,4654548,7631374,14955835,4015688,12497916,9423907,30595749,9696512,7933288,8543748,3421516,2361610,3013806
2025-05-13,10618361,5080838,5173896,2910464,1697941,32758240,7440361,5781567,16362724,4462149,6403813,3831940,5477501,4744211,7018011,11588584,3094861,11025523,4671905,7659844,15011613,4030665,12544544,9459045,30709878,9732670,7962867,8575605,3434285,2370416,3025043
2025-05-14,10618361,5080838,5173896,2910464,1697941,32758240,7440361,5781567,16362724,4462149,6403813,3831940,5477501,4744211,7018011,11588584,3094861,11025523,4671905,7659844,15011613,4030665,12544544,9459045,30709878,9732670,7962867,8575605,3434285,2370416,3025043
2025-05-16,10618361,5080838,5173896,2910464,1697941,32758240,7440361,5781567,16362724,4462149,6403813,3831940,5477501,4744211,7018011,11588584,3094861,11025523,4671905,7659844,15011613,4030665,12544544,9459045,30709878,9732670,7962867,8575605,3434285,2370416,3025043
2025-05-19,10618361,5080838,5173896,2910464,1697941,32758240,7440361,5781567,16362724,4462149,6403813,3831940,5477501,4744211,7018011,11588584,3094861,11025523,4671905,7659844,15011613,4030665,12544544,9459045,30709878,9732670,7962867,8575605,3434285,2370416,3025043
2025-05-20,10618361,5080838,5173896,2910464,1697941,32758240,7440361,5781567,16362724,4462149,6403813,3831940,5477501,4744211,7018011,11588584,3094861,11025523,4671905,7659844,15011613,4030665,12544544,9459045,30709878,9732670,7962867,8575605,3434285,2370416,3025043
