date,dgx_shares,amgn_shares,bmy_shares,mck_shares,cvs_shares,crl_shares,solv_shares,mdt_shares,iqv_shares,isrg_shares,syk_shares,hca_shares,vrtx_shares,a_shares,mtd_shares,algn_shares,unh_shares,wst_shares,cor_shares,regn_shares,gild_shares,dhr_shares,tmo_shares,vtrs_shares,mrna_shares,tech_shares,jnj_shares,bdx_shares,coo_shares,incy_shares,wat_shares,gehc_shares,rvty_shares,mrk_shares,cnc_shares,uhs_shares,hum_shares,ew_shares,podd_shares,abt_shares,zts_shares,ste_shares,hsic_shares,rmd_shares,dxcm_shares,elv_shares,dva_shares,lly_shares,pfe_shares,abbv_shares,cah_shares,idxx_shares,biib_shares,ci_shares,lh_shares,bax_shares,bsx_shares,zbh_shares
2025-03-31,801220,3877691,14648214,904591,9100807,369144,997656,9255948,1207595,2574497,2478966,1290678,1853627,2059328,150960,506517,6642913,522717,1245817,759424,8995961,4619705,2760973,8615711,2444420,1141170,17378953,2072584,1440663,1159463,428596,3300880,878527,18259776,3579607,423819,870880,4257340,506315,12519858,3232282,709228,899948,1060184,2820247,1674041,317580,5687503,40906212,12742927,1743672,591104,1056574,1976287,602011,3685618,10638594,1437024
2025-04-01,801220,3877691,14648214,904591,9100807,369144,997656,9255948,1207595,2574497,2478966,1290678,1853627,2059328,150960,506517,6642913,522717,1245817,759424,8995961,4619705,2760973,8615711,2444420,1141170,17378953,2072584,1440663,1159463,428596,3300880,878527,18259776,3579607,423819,870880,4257340,506315,12519858,3232282,709228,899948,1060184,2820247,1674041,317580,5687503,40906212,12742927,1743672,591104,1056574,1976287,602011,3685618,10638594,1437024
2025-04-03,803196,3887285,14684432,906827,9123310,370054,1000126,9278832,1210585,2580867,2485101,1293875,1858216,2064424,151337,507765,6659336,524004,1248898,761296,9018204,4631132,2767798,8637018,2450465,1143991,17421922,2077706,1444225,1162336,429662,3309044,880698,18304925,3588460,424872,873038,4267870,507563,12550811,3240277,710983,902171,1062810,2827215,1678175,318360,5701569,41007364,12774439,1747988,592560,1059187,1981175,603497,3694731,10664905,1440573
2025-04-07,793108,3838263,14499186,895459,9008259,365424,987416,9161723,1195315,2548257,2453633,1277501,1834659,2038376,149436,501441,6575320,517473,1233145,751748,8904433,4572681,2732973,8528027,2419580,1129518,17202096,2051520,1426019,1147587,424204,3267312,869575,18073976,3543171,419483,861984,4214080,501239,12392510,3199442,701968,890872,1049372,2791519,1657121,314420,5629711,40489839,12613171,1725980,585132,1045818,1956231,595862,3648062,10530249,1422336
2025-04-16,788805,3817385,14420507,890527,8959276,363354,982126,9112050,1188785,2534467,2440401,1270575,1824816,2027324,148637,498665,6539645,514613,1226398,747575,8856070,4547941,2718107,8481736,2406365,1123391,17108697,2040415,1418225,1141436,421962,3249653,864798,17975796,3523969,417272,857338,4191179,498463,12325186,3182077,698183,885971,1043610,2776372,1648032,312660,5599078,40270102,12544814,1716588,581869,1040187,1945575,592697,3628240,10473123,1414682
2025-04-22,787122,3809267,14389834,888635,8940213,362584,980036,9092657,1186255,2529077,2435209,1267869,1820933,2023012,148318,497609,6525730,513513,1223791,745980,8837227,4538261,2712321,8463685,2401256,1121004,17072304,2036070,1415211,1139005,421060,3242734,862961,17937549,3516467,416381,855512,4182258,497407,12298962,3175301,696698,884090,1041388,2770465,1644523,312000,5587165,40184429,12518117,1712936,580626,1037976,1941439,591432,3620518,10450837,1411668
2025-04-23,787887,3812962,14403784,889495,8948878,362934,980986,9101472,1187405,2531527,2437569,1269099,1822698,2024972,148463,498089,6532055,514013,1224976,746705,8845792,4542661,2714951,8471890,2403586,1122089,17088854,2038045,1416581,1140110,421470,3245879,863796,17954939,3519877,416786,856342,4186313,497887,12310887,3178381,697373,884945,1042398,2773150,1646118,312300,5592580,40223384,12530252,1714596,581191,1038981,1943319,592007,3624028,10460967,1413038
2025-04-25,789723,3821830,14437264,891559,8969674,363774,983266,9122628,1190165,2537407,2443233,1272051,1826934,2029676,148811,499241,6547235,515213,1227820,748445,8866348,4553221,2721263,8491582,2409178,1124693,17128574,2042785,1419869,1142762,422454,3253427,865800,17996675,3528061,417758,858334,4196045,499039,12339507,3185773,698993,886997,1044822,2779594,1649946,313020,5605576,40316876,12559376,1718580,582547,1041393,1947831,593387,3632452,10485279,1416326
2025-04-28,789417,3820352,14431684,891215,8966208,363634,982886,9119102,1189705,2536427,2442289,1271559,1826228,2028892,148753,499049,6544705,515013,1227346,748155,8862922,4551461,2720211,8488300,2408246,1124259,17121954,2041995,1419321,1142320,422290,3252169,865466,17989719,3526697,417596,858002,4194423,498847,12334739,3184541,698723,886655,1044418,2778520,1649308,312900,5603410,40301294,12554522,1717916,582321,1040991,1947079,593157,3631048,10481227,1415778
2025-05-13,798597,3864692,14599084,901535,9070188,367834,994286,9224882,1203505,2565827,2470609,1286319,1847408,2052412,150493,504809,6620605,521013,1241566,756855,8965702,4604261,2751771,8586760,2436206,1137279,17320554,2065695,1435761,1155580,427210,3289909,875486,18198399,3567617,422456,867962,4243083,504607,12477785,3221501,706823,896915,1056538,2810740,1668448,316500,5668390,40768754,12700142,1737836,589101,1053051,1969639,600057,3673168,10602787,1432218
