date,pool_shares,tjx_shares,azo_shares,gm_shares,nvr_shares,tpr_shares,len_shares,rost_shares,phm_shares,mgm_shares,gpc_shares,wynn_shares,f_shares,cvna_shares,bkng_shares,rl_shares,grmn_shares,nclh_shares,sbux_shares,dash_shares,expe_shares,cmg_shares,ccl_shares,aptv_shares,dhi_shares,yum_shares,mar_shares,nke_shares,dpz_shares,hd_shares,has_shares,deck_shares,mcd_shares,bby_shares,lulu_shares,lvs_shares,rcl_shares,tsla_shares,dri_shares,tsco_shares,abnb_shares,orly_shares,ulta_shares,low_shares,ebay_shares,wsm_shares,amzn_shares,hlt_shares
2025-03-31,215956,6374537,95229,5646852,16983,1174888,1325226,1872363,1148975,1269633,789056,508378,22091133,,187798,226360,871796,2495457,6431180,1925397,699925,7691780,5946306,1302127,1609531,1583789,1298642,6703801,196018,3995271,744198,861378,2982218,1104152,635904,1950214,1405201,11254470,664822,3031687,2456597,326208,263150,3201812,2718361,698653,22943611,1365494
2025-04-01,215956,6374537,95229,5646852,16983,1174888,1325226,1872363,1148975,1269633,789056,508378,22091133,,187798,226360,871796,2495457,6431180,1925397,699925,7691780,5946306,1302127,1609531,1583789,1298642,6703801,196018,3995271,744198,861378,2982218,1104152,635904,1950214,1405201,11254470,664822,3031687,2456597,326208,263150,3201812,2718361,698653,22943611,1365494
2025-04-03,212104,6264545,93537,5545764,16695,1153864,1301502,1838847,1128419,1246917,774944,499270,21695673,,184450,222292,856172,2450781,6329600,1890945,687397,7554080,5839854,1278835,1580731,1555421,1275386,6583813,192526,3923739,730878,845970,2928830,1084388,624528,1915294,1380037,11052978,652906,2977435,2412605,320376,258434,3146664,2669689,686161,22534915,1341050
2025-04-07,207289,6121805,91422,5419404,16335,1127584,1271847,1796952,1102724,1218522,757304,487885,21201348,,180265,217207,836642,2394936,6185375,1847880,671737,7381955,5706789,1249720,1544731,1519961,1246316,6433828,188161,3834324,714228,826710,2862095,1059683,610308,1871644,1348582,10801113,638011,2909620,2357615,313086,252539,3074979,2608849,670546,22021420,1310495
2025-04-16,209857,6197933,92550,5486796,16527,1141600,1287663,1819296,1116428,1233666,766712,493957,21465001,,182497,219919,847071,2424720,6262305,1870848,680089,7473755,5777757,1265248,1563931,1538873,1261820,6513820,190489,3882012,723108,836982,2897687,1072859,617892,1894924,1365358,10936741,645955,2945803,2386943,316974,255683,3113211,2641297,678874,22295284,1326791
2025-04-22,209857,6197933,92550,5486796,16527,1141600,1287663,1819296,1116428,1233666,766712,493957,21465001,,182497,219919,847071,2424720,6262305,1870848,680089,7473755,5777757,1265247,1563931,1538873,1261820,6513828,190489,3882012,723108,836982,2897687,1072859,617892,1894924,1365358,10936741,645955,2945802,2386943,316974,255683,3113211,2641297,678874,22295284,1326791
2025-04-23,210820,6226481,92973,5512068,16599,1146856,1293594,1827675,1121567,1239345,770240,496234,21563866,,183334,220936,850977,2435889,6291159,1879461,683221,7508180,5804370,1271079,1571131,1545965,1267634,6543825,191362,3899895,726438,840834,2911034,1077800,620736,1903654,1371649,10987114,648934,2959374,2397941,318432,256862,3127548,2653465,681997,22397983,1332902
2025-04-25,210820,6226481,92973,5512068,16599,1146856,1293594,1827675,1121567,1239345,770240,496234,21563866,,183334,220936,850977,2435889,6291159,1879461,683221,7508180,5804370,1271079,1571131,1545965,1267634,6543825,191362,3899895,726438,840834,2911034,1077800,620736,1903654,1371649,10987114,648934,2959374,2397941,318432,256862,3127548,2653465,681997,22397983,1332902
2025-04-28,210071,6204270,92644,5492405,16543,1142768,1288981,1821158,1117570,1234928,767496,494463,21486957,,182683,220145,847939,2427202,6268717,1872755,680785,7481398,5783671,1266543,1565524,1540449,1263112,6520487,190683,3886386,723848,837838,2900653,1073957,618524,1896864,1366756,10947921,646617,2948818,2389387,317298,255945,3116390,2644001,679568,22319192,1328149
2025-05-13,210285,6211416,92738,5498027,16559,1143936,1290299,1823020,1118712,1236190,768280,494969,21508931,,182869,220371,848807,2429684,6276429,1874671,681481,7489050,5789591,1267839,1567126,1542025,1264404,6527155,190877,3890360,724588,838694,2903619,1075055,619156,1898804,1368154,10959519,647279,2951834,2391831,317622,256207,3119578,2646705,680262,22342824,1329507
